ドイツ語;英語;日本語;学名;画像;
Nilgans(Weißwangengans);Barnacle goose;カオジロガン;Branta leucopsis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/weisswangengans/;
Ohrenlerche;Horned lark;ハマヒバリ;Eremophila alpestris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/ohrenlerche/;
Ohrentaucher;Horned grebe;ミミカイツブリ;Podiceps auritus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/ohrentaucher/;
Ortlan;Ortolan bunting;ズアオホオジロ;Emberiza hortulana;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/ortolan/;
Pfeifente;Eurasian wigeon;ヒドリガモ;Anas penelope;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/pfeifente/;
Pfuhlschnepfe;Bar-tailed godwit;オオソリハシシギ;Limosa lapponica;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/pfuhlschnepfe/;
Prachttaucher;Black-throated loon;オオハム;Gavia arctica;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/prachttaucher/;
Pirol;Eurasian golden oriole;ニシコウライウグイ;Oriolus oriolus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/pirol/;
Purpurreiher;Purple heron;ムラサキサギ;Ardea purpurea;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/purpurreiher/;
Rabenkrähe;Carrion crow;ハシボソガラス;Corvus corone;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rabenkraehe/;
Raubwürger;Great grey shrike;オオモズ;Lanius excubitor;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/raubwuerger/;
Rauchschwalbe;Barn swallow;ツバメ;Hirundo rustica;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rauchschwalbe/;
Rebhuhn;Grey partridge;ヨーロッパヤマウズラ;Perdix perdix;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rebhuhn/;
Rotschenkel ;Common redshank;アカアシシギ;Tringa totanus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rotschenkel/;
Ringelgans;Brant;コクガン;Branta bernicla;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/ringelgans/;
Reiherente;Tufted duck;キンクロハジロ;Aythya fuligula;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/wasservoegel/05891.html;
Ringeltaube;Common wood pigeon;モリバト;Columba palumbus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/ringeltaube/;
Rohrdommel ;Eurasian bittern;サンカノゴイ;Botaurus stellaris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rohrdommel/;
Rohrammer;Common reed bunting;オオジュリン;Emberiza schoeniclus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rohrammer/;
Rohrweihe;Western marsh harrier;ヨーロッパチュウヒ;Circus aeruginosus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rohrweihe/;
Rothalstaucher;Red-necked grebe;アカエリカイツブリ;Podiceps grisegena;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rothalstaucher/;
Rotkehlchen;European robin;ヨーロッパコマドリ;Erithacus rubecula;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rotkehlchen/;
Rotschenkel ;Common redshank;アカアシシギ;Tringa totanus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rotschenkel/;
Rotmilan;Red kite;アカトビ;Milvus milvus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/rotmilan/;
Saatgans;Bean goose;ヒシクイ;Anser fabalis;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/wasservoegel/04696.html;
Saatkrähe;Rook;ミヤマガラス;Corvus frugilegus;https://www.nabu.de/tiere-und-pflanzen/aktionen-und-projekte/vogel-des-jahres/1986-saatkraehe/index.html;
Säbelschnäbler;Pied avocet;ソリハシセイタカシギ;Recurvirostra avosetta;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/saebelschnaebler/;
Samtente;Velvet scoter;ビロードキンクロ;Melanitta fusca;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/samtente/;
Sanderling;Sanderling;ミユビシギ ;Calidris alba;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sanderling/;
Sandregenpfeifer;Common ringed plover;ハジロコチドリ;Charadrius hiaticula;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sandregenpfeifer/;
Schafstelze;Western yellow wagtail;ツメナガセキレイ;Motacilla flava;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schafstelze/;
Schellente;Common goldeneye;ホオジロガモ;Bucephala clangula;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schellente/;
Schleiereule;Barn owl;メンフクロウ;Tyto alba;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schleiereule/;
Schilfrohrsänger;Sedge warbler;スゲヨシキリ;Acrocephalus schoenobaenus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schilfrohrsaenger/;
Schnatterente;Gadwall;オカヨシガモ;Mareca strepera;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schnatterente/;
Schneeammer;Snow bunting;ユキホオジロ;Plectrophenax nivalis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schneeammer/;
Schreiadler;Lesser spotted eagl;アシナガワシ;Aquila pomarina;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schreiadler/;
Schwanzmeise;Long-tailed tit;エナガ;Aegithalos caudatus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schwanzmeise/;
Schwarzhalstaucher;Black-necked grebe;ハジロカイツブリ;Podiceps nigricollis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schwarzhalstaucher/;
Schwarzmilan;Black kite;トビ;Milvus migrans;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schwarzmilan/;
Schwarzkehlchen;European stonechat;ニシノビタキ;Saxicola rubicola;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schwarzkehlchen/;
Schwarzstorch;Black stork;ナベコウ;Ciconia nigra;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/schwarzstorch/;
Seeadler;white-tailed eagle;オジロワシ;Haliaeetus albicilla;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/seeadler/;
Seidenreiher;Little egret;コサギ;Egretta garzetta;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/seidenreiher/;
Seidenschwanz;Bohemian waxwing;キレンジャク;Bombycilla garrulus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/seidenschwanz/;
Silbermöwe;European herring gull;セグロカモメ;Larus argentatus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/silbermoewe/;
Silberreiher;Great egret;ダイサギ;Ardea alba;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/silberreiher/;
Singdrossel;Song thrush;ウタツグミ;Turdus philomelos;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/singdrossel/;
Singschwan;Whooper swan;オオハクチョウ;Cygnus cygnus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/singschwan/;
Sommergoldhähnchen;Common firecrest;マミジロキクイタダキ;Regulus ignicapilla;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sommergoldhaehnchen/;
Sperber;Eurasian sparrowhaw;ハイタカ;Accipiter nisus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sperber/;
Spießente;Northern pintail;オナガガモ;Anas acuta;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/spiessente/;
Steinschmätzer;Northern wheatear;ハシグロヒタキ;Oenanthe oenanthe;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/steinschmaetzer/;
Sturmmöwe;Common gull;カモメ;Larus canus;https://nrw.nabu.de/natur-und-landschaft/landnutzung/jagd/jagdbare-arten/wasservoegel/04835.html;
Sumpfläufer;Broad-billed sandpiper;キリアイ;Limicola falcinellus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sumpflaeufer/;
Sumpfmeise;Marsh tit;ハシブトガラ;Poecile palustris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sumpfmeise/;
Sumpfrohrsänger;Marsh warbler;ヌマヨシキリ;Acrocephalus palustris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sumpfrohrsaenger/;
Star;Common starling;ホシムクドリ;Sturnus vulgaris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/star/;
Steinkauz;Little owl;コキンメフクロウ;Athene noctua;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/steinkauz/;
Steinwälzer;Ruddy turnstone;キョウジョシギ;Arenaria interpres;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/steinwaelzer/;
Sterntaucher;Red-throated loon;アビ;Gavia stellata;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sterntaucher/;
Stieglitz;European goldfinch;ゴシキヒワ;Carduelis carduelis;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/stieglitz/;
Stockente;Mallard;マガモ;Anas platyrhynchos;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/stockente/;
Straßentaube;Feral pigeon;ドバト;Columba livia f. domestica;https://berlin.nabu.de/stadt-und-natur/lebensraum-haus/arten/vogelarten/16064.html;
Sumpfohreule;Short-eared owl;コミミズク;Asio flammeus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/sumpfohreule/;
Tafelente;Common pochard;ホシハジロ;Aythya ferina;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/tafelente/;
Tannenmeise;Coal tit;ヒガラ;Periparus ater;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/tannenmeise/;
Teichhuhn;Common moorhen;バン;Gallinula chloropus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/teichhuhn/;
Teichrohrsänger;Eurasian reed warbler;ヨーロッパヨシキリ;Acrocephalus scirpaceus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/teichrohrsaenger/;
Trauerente;Common scoter ;クロガモ;Melanitta nigra;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/trauerente/;
Trauerschnäpper;European pied flycatcher;マダラヒタキ;Ficedula hypoleuca;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/trauerschnaepper/;
Trottellumme;Common murre;ウミガラス;Uria aalge;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/trottellumme/;
Turmfalke;Common kestrel;チョウゲンボウ;Falco tinnunculus;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/turmfalke/;
Türkentaube;Eurasian collared dove;シラコバト;Streptopelia decaocto;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/tuerkentaube/;
Uferschnepfe;Black-tailed godwit;オグロシギ;Limosa lapponica;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/uferschnepfe/;
Uferschwalbe;Sand martin;ショウドウツバメ;Riparia riparia;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/uferschwalbe/;
Uhu;Eurasian eagle-owl;ワシミミズク;Bubo bubo;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/uhu/;
Wachtel;Common quail;ヨーロッパウズラ;Coturnix coturnix;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/wachtel/;
Wachtelkönig;Corn crake;ウズラクイナ;Crex crex;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/wachtelkoenig/;
Wacholderdrossel;Fieldfare;ノハラツグミ;Turdus pilaris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/wacholderdrossel/;
Waldbaumläufer;Eurasian treecreeper;キバシリ;Certhia familiaris;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/waldbaumlaeufer/;
Waldkauz;Tawny owl;モリフクロウ;Strix aluco;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/waldkauz/;
Waldlaubsänger;Wood warbler;モリムシクイ;Phylloscopus sibilatrix;https://www.nabu.de/tiere-und-pflanzen/voegel/portraets/waldlaubsaenger/;
